Trend = -89.50 degrees from North in Clockwise direction Plunge = 0.98degrees  A=  9° |   N
Trend = -87.85 degrees from North in Clockwise direction Plunge = 0.15degrees  A=329° |  NW
Trend = -87.11 degrees from North in Clockwise direction Plunge = 0.30degrees  A=330° |  NW
Trend = -88.31 degrees from North in Clockwise direction Plunge = 0.10degrees  A=328° |  NW
Trend = -87.94 degrees from North in Clockwise direction Plunge = 0.14degrees  A=332° |  NW
Trend = -89.28 degrees from North in Clockwise direction Plunge = 11.70degrees  A=346° | NNW
Trend = 83.07 degrees from North in Clockwise direction Plunge = 12.10degrees  A=349° | NNW
Trend = 86.71 degrees from North in Clockwise direction Plunge = 11.92degrees  A=347° | NNW
Trend = 88.67 degrees from North in Clockwise direction Plunge = 11.77degrees  A=346° | NNW
Trend = 88.29 degrees from North in Clockwise direction Plunge = 11.57degrees  A=346° | NNW
Trend = 78.76 degrees from North in Clockwise direction Plunge = 11.39degrees  A=350° | NNW
Trend = 80.86 degrees from North in Clockwise direction Plunge = 11.71degrees  A=350° | NNW
Trend = 84.33 degrees from North in Clockwise direction Plunge = 12.54degrees  A=349° | NNW
Trend = 79.22 degrees from North in Clockwise direction Plunge = 11.64degrees  A=350° | NNW
Trend = 89.89 degrees from North in Clockwise direction Plunge = 12.00degrees  A=344° | NNW
Trend = 84.53 degrees from North in Clockwise direction Plunge = 11.87degrees  A=349° | NNW
Trend = 80.99 degrees from North in Clockwise direction Plunge = 12.40degrees  A=349° | NNW
Trend = 81.72 degrees from North in Clockwise direction Plunge = 11.96degrees  A=351° | NNW
Trend = 81.41 degrees from North in Clockwise direction Plunge = 12.20degrees  A=350° | NNW
Trend = 82.51 degrees from North in Clockwise direction Plunge = 11.85degrees  A=349° | NNW
Trend = 81.18 degrees from North in Clockwise direction Plunge = 12.07degrees  A=350° | NNW
Trend = 83.29 degrees from North in Clockwise direction Plunge = 11.64degrees  A=348° | NNW
Trend = 83.44 degrees from North in Clockwise direction Plunge = 6.08degrees  A=353° | NNW
Trend = 80.15 degrees from North in Clockwise direction Plunge = 9.37degrees  A=352° | NNW
Trend = 81.21 degrees from North in Clockwise direction Plunge = 9.43degrees  A=351° | NNW
Trend = 80.54 degrees from North in Clockwise direction Plunge = 8.40degrees  A=350° | NNW
Trend = 77.93 degrees from North in Clockwise direction Plunge = 10.62degrees  A=352° | NNW
Trend = 78.20 degrees from North in Clockwise direction Plunge = 10.14degrees  A=353° | NNW
Trend = 77.76 degrees from North in Clockwise direction Plunge = 10.46degrees  A=353° | NNW
Trend = 77.89 degrees from North in Clockwise direction Plunge = 10.17degrees  A=353° | NNW
Trend = 79.84 degrees from North in Clockwise direction Plunge = 9.06degrees  A=353° | NNW
Trend = 73.91 degrees from North in Clockwise direction Plunge = 10.50degrees  A=356° | NNW
Trend = 77.19 degrees from North in Clockwise direction Plunge = 10.35degrees  A=356° | NNW
Trend = 78.94 degrees from North in Clockwise direction Plunge = 11.95degrees  A=352° | NNW
Trend = 78.53 degrees from North in Clockwise direction Plunge = 12.38degrees  A=353° | NNW
Trend = 77.05 degrees from North in Clockwise direction Plunge = 13.65degrees  A=353° | NNW
Trend = 77.88 degrees from North in Clockwise direction Plunge = 12.62degrees  A=354° | NNW
Trend = 75.31 degrees from North in Clockwise direction Plunge = 12.90degrees  A=357° | NNW
Trend = 74.24 degrees from North in Clockwise direction Plunge = 11.67degrees  A=356° | NNW
Trend = 74.89 degrees from North in Clockwise direction Plunge = 14.50degrees  A=355° | NNW
Trend = 89.27 degrees from North in Clockwise direction Plunge = 14.13degrees  A=355° | NNW
Trend = 87.28 degrees from North in Clockwise direction Plunge = 16.23degrees  A=355° | NNW
Trend = 87.19 degrees from North in Clockwise direction Plunge = 16.59degrees  A=348° | NNW
Trend = 84.51 degrees from North in Clockwise direction Plunge = 16.57degrees  A=348° | NNW
Trend = 81.88 degrees from North in Clockwise direction Plunge = 16.87degrees  A=350° | NNW
Trend = 86.61 degrees from North in Clockwise direction Plunge = 18.20degrees  A=351° | NNW
Trend = 77.33 degrees from North in Clockwise direction Plunge = 18.17degrees  A=351° | NNW
Trend = 79.20 degrees from North in Clockwise direction Plunge = 17.66degrees  A=351° | NNW
Trend = 82.70 degrees from North in Clockwise direction Plunge = 17.64degrees  A=351° | NNW
Trend = 82.41 degrees from North in Clockwise direction Plunge = 17.90degrees  A=351° | NNW
Trend = 79.62 degrees from North in Clockwise direction Plunge = 17.84degrees  A=351° | NNW
Trend = 83.33 degrees from North in Clockwise direction Plunge = 17.30degrees  A=351° | NNW
Trend = 84.07 degrees from North in Clockwise direction Plunge = 17.45degrees  A=351° | NNW
Trend = 78.01 degrees from North in Clockwise direction Plunge = 16.80degrees  A=353° | NNW
Trend = 75.44 degrees from North in Clockwise direction Plunge = 18.32degrees  A=356° | NNW
Trend = 71.70 degrees from North in Clockwise direction Plunge = 19.31degrees  A=357° | NNW
Trend = -89.75 degrees from North in Clockwise direction Plunge = 15.28degrees  A=345° | NNW
Trend = -85.96 degrees from North in Clockwise direction Plunge = 12.60degrees  A=347° | NNW
Trend = 87.30 degrees from North in Clockwise direction Plunge = 14.40degrees  A=347° | NNW
Trend = -88.76 degrees from North in Clockwise direction Plunge = 15.24degrees  A=347° | NNW
Trend = 78.38 degrees from North in Clockwise direction Plunge = 17.35degrees  A=347° | NNW
Trend = 76.84 degrees from North in Clockwise direction Plunge = 15.69degrees  A=347° | NNW
Trend = 79.87 degrees from North in Clockwise direction Plunge = 17.28degrees  A=352° | NNW
Trend = 81.60 degrees from North in Clockwise direction Plunge = 16.31degrees  A=352° | NNW
Trend = 83.52 degrees from North in Clockwise direction Plunge = 17.11degrees  A=354° | NNW
Trend = 85.13 degrees from North in Clockwise direction Plunge = 17.06degrees  A=348° | NNW
Trend = -89.87 degrees from North in Clockwise direction Plunge = 15.34degrees  A=346° | NNW
Trend = 85.70 degrees from North in Clockwise direction Plunge = 16.40degrees  A=346° | NNW
Trend = 81.68 degrees from North in Clockwise direction Plunge = 17.91degrees  A=346° | NNW
Trend = 71.77 degrees from North in Clockwise direction Plunge = 18.75degrees  A=346° | NNW
Trend = 71.45 degrees from North in Clockwise direction Plunge = 17.28degrees  A=346° | NNW
Trend = 76.43 degrees from North in Clockwise direction Plunge = 16.40degrees  A=346° | NNW
Trend = 81.00 degrees from North in Clockwise direction Plunge = 17.13degrees  A=346° | NNW
Trend = 83.33 degrees from North in Clockwise direction Plunge = 16.57degrees  A=346° | NNW
Trend = 81.01 degrees from North in Clockwise direction Plunge = 17.09degrees  A=351° | NNW
Trend = -74.51 degrees from North in Clockwise direction Plunge = 4.91degrees  A=324° |  NW
Trend = -78.64 degrees from North in Clockwise direction Plunge = 3.25degrees  A=327° |  NW
Trend = -80.98 degrees from North in Clockwise direction Plunge = 6.03degrees  A=337° |  NW
Trend = -85.51 degrees from North in Clockwise direction Plunge = 0.66degrees  A=330° |  NW
Trend = -87.24 degrees from North in Clockwise direction Plunge = 0.24degrees  A=330° |  NW
Trend = -86.82 degrees from North in Clockwise direction Plunge = 0.35degrees  A=329° |  NW
Trend = -86.06 degrees from North in Clockwise direction Plunge = 0.55degrees  A=330° |  NW
Trend = -87.57 degrees from North in Clockwise direction Plunge = 0.18degrees  A=328° |  NW
Trend = -87.55 degrees from North in Clockwise direction Plunge = 0.18degrees  A=327° |  NW
Trend = -84.79 degrees from North in Clockwise direction Plunge = 1.37degrees  A=336° |  NW
Trend = -76.76 degrees from North in Clockwise direction Plunge = 11.43degrees  A=331° |  NW
Trend = -88.96 degrees from North in Clockwise direction Plunge = 0.02degrees  A=311° | WNW
Trend = -69.61 degrees from North in Clockwise direction Plunge = 1.43degrees  A=185° |   S
Trend = -59.76 degrees from North in Clockwise direction Plunge = 1.60degrees  A=267° | WSW
Trend = 82.37 degrees from North in Clockwise direction Plunge = 0.41degrees  A=306° | WNW
Trend = -86.37 degrees from North in Clockwise direction Plunge = 9.45degrees  A=345° | NNW
Trend = -89.51 degrees from North in Clockwise direction Plunge = 11.38degrees  A=345° | NNW
Trend = -84.25 degrees from North in Clockwise direction Plunge = 7.49degrees  A=342° | NNW
Trend = -83.16 degrees from North in Clockwise direction Plunge = 3.91degrees  A=339° | NNW
Trend = -83.49 degrees from North in Clockwise direction Plunge = 2.97degrees  A=337° |  NW
Trend = -85.07 degrees from North in Clockwise direction Plunge = 0.93degrees  A=332° |  NW
Trend = -85.02 degrees from North in Clockwise direction Plunge = 0.88degrees  A=331° |  NW
Trend = -84.61 degrees from North in Clockwise direction Plunge = 1.01degrees  A=331° |  NW
Trend = -85.49 degrees from North in Clockwise direction Plunge = 0.61degrees  A=329° |  NW
Trend = -83.87 degrees from North in Clockwise direction Plunge = 1.64degrees  A=332° |  NW
Trend = -81.56 degrees from North in Clockwise direction Plunge = 2.92degrees  A=333° |  NW
Trend = -86.01 degrees from North in Clockwise direction Plunge = 0.40degrees  A=327° |  NW
Trend = -86.71 degrees from North in Clockwise direction Plunge = 0.24degrees  A=326° |  NW
Trend = -86.99 degrees from North in Clockwise direction Plunge = 0.20degrees  A=327° |  NW
Trend = -88.59 degrees from North in Clockwise direction Plunge = 0.04degrees  A=325° |  NW
Trend = -87.70 degrees from North in Clockwise direction Plunge = 0.12degrees  A=326° |  NW
Trend = -89.44 degrees from North in Clockwise direction Plunge = 0.01degrees  A=322° |  NW
Trend = -88.28 degrees from North in Clockwise direction Plunge = 0.05degrees  A=322° |  NW
Trend = -88.75 degrees from North in Clockwise direction Plunge = 0.03degrees  A=323° |  NW
Trend = -89.09 degrees from North in Clockwise direction Plunge = 0.01degrees  A=324° |  NW
Trend = 85.13 degrees from North in Clockwise direction Plunge = 0.30degrees  A=323° |  NW
Trend = 86.75 degrees from North in Clockwise direction Plunge = 0.13degrees  A=323° |  NW
Trend = 85.83 degrees from North in Clockwise direction Plunge = 0.20degrees  A=323° |  NW
Trend = 83.82 degrees from North in Clockwise direction Plunge = 0.38degrees  A=317° |  NW
Trend = -89.99 degrees from North in Clockwise direction Plunge = 0.00degrees  A=324° |  NW
Trend = -88.77 degrees from North in Clockwise direction Plunge = 0.04degrees  A=326° |  NW
Trend = 89.58 degrees from North in Clockwise direction Plunge = 0.00degrees  A=324° |  NW
Trend = 88.60 degrees from North in Clockwise direction Plunge = 0.03degrees  A=323° |  NW
Trend = 87.36 degrees from North in Clockwise direction Plunge = 0.10degrees  A=324° |  NW
Trend = -88.85 degrees from North in Clockwise direction Plunge = 0.03degrees  A=330° |  NW
Trend = -88.19 degrees from North in Clockwise direction Plunge = 0.07degrees  A=328° |  NW
Trend = -89.53 degrees from North in Clockwise direction Plunge = 0.00degrees  A=323° |  NW
Trend = -89.61 degrees from North in Clockwise direction Plunge = 0.00degrees  A=322° |  NW
Trend = 82.28 degrees from North in Clockwise direction Plunge = 12.70degrees  A=356° | NNW
Trend = -83.62 degrees from North in Clockwise direction Plunge = 8.11degrees  A=342° | NNW
Trend = -86.25 degrees from North in Clockwise direction Plunge = 9.99degrees  A=346° | NNW
Trend = 82.73 degrees from North in Clockwise direction Plunge = 11.60degrees  A=346° | NNW
Trend = 88.48 degrees from North in Clockwise direction Plunge = 11.97degrees  A=347° | NNW
Trend = 85.80 degrees from North in Clockwise direction Plunge = 12.55degrees  A=348° | NNW
Trend = 88.80 degrees from North in Clockwise direction Plunge = 11.96degrees  A=346° | NNW
Trend = 86.83 degrees from North in Clockwise direction Plunge = 12.57degrees  A=347° | NNW
Trend = 84.70 degrees from North in Clockwise direction Plunge = 12.26degrees  A=347° | NNW
Trend = 89.48 degrees from North in Clockwise direction Plunge = 13.08degrees  A=344° | NNW
Trend = 86.00 degrees from North in Clockwise direction Plunge = 12.72degrees  A=346° | NNW
Trend = 81.73 degrees from North in Clockwise direction Plunge = 13.08degrees  A=349° | NNW
Trend = 84.42 degrees from North in Clockwise direction Plunge = 12.42degrees  A=347° | NNW
Trend = 84.94 degrees from North in Clockwise direction Plunge = 12.77degrees  A=345° | NNW
Trend = 85.17 degrees from North in Clockwise direction Plunge = 13.33degrees  A=348° | NNW
Trend = 81.56 degrees from North in Clockwise direction Plunge = 12.95degrees  A=350° | NNW
Trend = 81.46 degrees from North in Clockwise direction Plunge = 13.00degrees  A=351° | NNW
Trend = 81.10 degrees from North in Clockwise direction Plunge = 13.06degrees  A=352° | NNW
Trend = 78.49 degrees from North in Clockwise direction Plunge = 12.29degrees  A=349° | NNW
Trend = 77.42 degrees from North in Clockwise direction Plunge = 12.57degrees  A=349° | NNW
Trend = 77.25 degrees from North in Clockwise direction Plunge = 12.18degrees  A=352° | NNW
Trend = 78.57 degrees from North in Clockwise direction Plunge = 12.64degrees  A=350° | NNW
Trend = 79.68 degrees from North in Clockwise direction Plunge = 11.94degrees  A=350° | NNW
Trend = 82.19 degrees from North in Clockwise direction Plunge = 11.51degrees  A=349° | NNW
Trend = 80.83 degrees from North in Clockwise direction Plunge = 9.53degrees  A=350° | NNW
Trend = 75.37 degrees from North in Clockwise direction Plunge = 11.06degrees  A=353° | NNW
Trend = 73.99 degrees from North in Clockwise direction Plunge = 11.94degrees  A=355° | NNW
Trend = 73.90 degrees from North in Clockwise direction Plunge = 12.26degrees  A=355° | NNW
Trend = 75.26 degrees from North in Clockwise direction Plunge = 12.41degrees  A=355° | NNW
Trend = 72.90 degrees from North in Clockwise direction Plunge = 13.14degrees  A=356° | NNW
Trend = 74.35 degrees from North in Clockwise direction Plunge = 11.90degrees  A=355° | NNW
Trend = 71.62 degrees from North in Clockwise direction Plunge = 12.53degrees  A=358° | NNW
Trend = 78.74 degrees from North in Clockwise direction Plunge = 11.80degrees  A=353° | NNW
Trend = 72.51 degrees from North in Clockwise direction Plunge = 12.54degrees  A=357° | NNW
Trend = 73.88 degrees from North in Clockwise direction Plunge = 12.55degrees  A=354° | NNW
Trend = 72.23 degrees from North in Clockwise direction Plunge = 11.27degrees  A=357° | NNW
Trend = 73.74 degrees from North in Clockwise direction Plunge = 11.92degrees  A=355° | NNW
Trend = 75.10 degrees from North in Clockwise direction Plunge = 11.70degrees  A=355° | NNW
Trend = 75.42 degrees from North in Clockwise direction Plunge = 11.20degrees  A=355° | NNW
Trend = 74.76 degrees from North in Clockwise direction Plunge = 12.29degrees  A=354° | NNW
Trend = 74.78 degrees from North in Clockwise direction Plunge = 11.99degrees  A=353° | NNW
Trend = 80.34 degrees from North in Clockwise direction Plunge = 11.88degrees  A=357° | NNW
Trend = 74.73 degrees from North in Clockwise direction Plunge = 12.57degrees  A=356° | NNW
Trend = 72.10 degrees from North in Clockwise direction Plunge = 13.29degrees  A=359° | NNW
Trend = 54.74 degrees from North in Clockwise direction Plunge = 16.69degrees  A= 13° |   N
Trend = 63.00 degrees from North in Clockwise direction Plunge = 13.73degrees  A=  5° |   N
Trend = 67.88 degrees from North in Clockwise direction Plunge = 13.63degrees  A=  1° |   N
Trend = 70.26 degrees from North in Clockwise direction Plunge = 12.44degrees  A=  0° |   N
Trend = 83.86 degrees from North in Clockwise direction Plunge = 12.58degrees  A=348° | NNW
Trend = -83.60 degrees from North in Clockwise direction Plunge = 4.48degrees  A=344° | NNW
Trend = -86.44 degrees from North in Clockwise direction Plunge = 9.85degrees  A=345° | NNW
Trend = 79.09 degrees from North in Clockwise direction Plunge = 10.24degrees  A=354° | NNW
Trend = 79.22 degrees from North in Clockwise direction Plunge = 11.37degrees  A=354° | NNW
Trend = 78.22 degrees from North in Clockwise direction Plunge = 10.12degrees  A=356° | NNW
Trend = 76.97 degrees from North in Clockwise direction Plunge = 12.04degrees  A=356° | NNW
Trend = 69.16 degrees from North in Clockwise direction Plunge = 14.12degrees  A=  1° |   N
Trend = 85.24 degrees from North in Clockwise direction Plunge = 10.16degrees  A= 13° |   N
Trend = 54.15 degrees from North in Clockwise direction Plunge = 16.85degrees  A= 15° |   N
Trend = 65.75 degrees from North in Clockwise direction Plunge = 14.76degrees  A=  6° |   N
Trend = 82.16 degrees from North in Clockwise direction Plunge = 8.06degrees  A=350° | NNW
Trend = 82.61 degrees from North in Clockwise direction Plunge = 0.47degrees  A=306° | WNW
Trend = 77.32 degrees from North in Clockwise direction Plunge = 0.83degrees  A=305° | WNW
Trend = 84.40 degrees from North in Clockwise direction Plunge = 0.33degrees  A=317° |  NW
Trend = -89.99 degrees from North in Clockwise direction Plunge = 0.00degrees  A=323° |  NW
Trend = -89.89 degrees from North in Clockwise direction Plunge = 0.00degrees  A=318° |  NW
Trend = 86.27 degrees from North in Clockwise direction Plunge = 0.14degrees  A=315° |  NW
Trend = 88.98 degrees from North in Clockwise direction Plunge = 0.01degrees  A=323° |  NW
Trend = -87.52 degrees from North in Clockwise direction Plunge = 0.13degrees  A=326° |  NW
Trend = -87.97 degrees from North in Clockwise direction Plunge = 0.08degrees  A=324° |  NW
Trend = -89.26 degrees from North in Clockwise direction Plunge = 0.01degrees  A=322° |  NW
Trend = 89.81 degrees from North in Clockwise direction Plunge = 0.00degrees  A=326° |  NW
Trend = 88.55 degrees from North in Clockwise direction Plunge = 0.03degrees  A=323° |  NW
Trend = 89.02 degrees from North in Clockwise direction Plunge = 0.02degrees  A=318° |  NW
Trend = -86.35 degrees from North in Clockwise direction Plunge = 0.28degrees  A=325° |  NW
Trend = -86.77 degrees from North in Clockwise direction Plunge = 0.29degrees  A=339° | NNW
Trend = -83.51 degrees from North in Clockwise direction Plunge = 1.54degrees  A=338° | NNW
Trend = 81.01 degrees from North in Clockwise direction Plunge = 12.02degrees  A=359° | NNW
Trend = 71.62 degrees from North in Clockwise direction Plunge = 13.93degrees  A=  1° |   N
Trend = 69.74 degrees from North in Clockwise direction Plunge = 12.69degrees  A=  5° |   N
Trend = 69.81 degrees from North in Clockwise direction Plunge = 12.24degrees  A=  6° |   N
Trend = 28.78 degrees from North in Clockwise direction Plunge = 22.69degrees  A= 25° | NNE
Trend = -53.73 degrees from North in Clockwise direction Plunge = 16.18degrees  A= 43° | NNE
Trend = 47.50 degrees from North in Clockwise direction Plunge = 18.91degrees  A= 13° |   N
Trend = -83.24 degrees from North in Clockwise direction Plunge = 5.93degrees  A=342° | NNW
Trend = 71.07 degrees from North in Clockwise direction Plunge = 14.90degrees  A=  2° |   N
76.47 degrees from North in Clockwise direction Plunge = 6.72degrees  A=  1° |   N
Trend = 63.68 degrees from North in Clockwise direction Plunge = 17.49degrees  A= 13° |   N
Trend = 70.22 degrees from North in Clockwise direction Plunge = 14.14degrees  A=  3° |   N
Trend = 86.71 degrees from North in Clockwise direction Plunge = 12.86degrees  A=349° | NNW
Trend = 80.40 degrees from North in Clockwise direction Plunge = 12.32degrees  A=354° | NNW
Trend = -87.08 degrees from North in Clockwise direction Plunge = 0.18degrees  A=354° | NNW
Trend = 89.17 degrees from North in Clockwise direction Plunge = 0.01degrees  A=354° | NNW
Trend = -84.41 degrees from North in Clockwise direction Plunge = 5.70degrees  A=354° | NNW
Trend = -84.69 degrees from North in Clockwise direction Plunge = 9.36degrees  A=354° | NNW
Trend = 73.22 degrees from North in Clockwise direction Plunge = 11.48degrees  A=  2° |   N
Trend = 60.27 degrees from North in Clockwise direction Plunge = 18.83degrees  A= 10° |   N
Trend = 84.01 degrees from North in Clockwise direction Plunge = 13.40degrees  A=356° | NNW
Trend = -82.70 degrees from North in Clockwise direction Plunge = 7.55degrees  A=345° | NNW
Trend = -84.10 degrees from North in Clockwise direction Plunge = 0.68degrees  A=335° |  NW
Trend = -89.66 degrees from North in Clockwise direction Plunge = 11.38degrees  A=352° | NNW
Trend = 43.82 degrees from North in Clockwise direction Plunge = 23.31degrees  A= 19° |   N
Trend = 84.60 degrees from North in Clockwise direction Plunge = 24.58degrees  A=358° | NNW
Trend = 80.87 degrees from North in Clockwise direction Plunge = 18.41degrees  A=353° | NNW
Trend = -60.19 degrees from North in Clockwise direction Plunge = 5.78degrees  A=331° |  NW
Trend = 47.64 degrees from North in Clockwise direction Plunge = 13.67degrees  A= 82° | ENE
Trend = 50.26 degrees from North in Clockwise direction Plunge = 8.39degrees  A= 48° |  NE
Trend = -83.85 degrees from North in Clockwise direction Plunge = 0.37degrees  A=326° |  NW
Trend = -76.17 degrees from North in Clockwise direction Plunge = 7.81degrees  A=342° | NNW
Trend = -76.87 degrees from North in Clockwise direction Plunge = 23.56degrees  A=349° | NNW
Trend = 84.92 degrees from North in Clockwise direction Plunge = 22.56degrees  A=357° | NNW
Trend = 70.51 degrees from North in Clockwise direction Plunge = 2.33degrees  A=  0° |   N
Trend = 82.50 degrees from North in Clockwise direction Plunge = 2.24degrees  A=  0° |   N
Trend = 88.18 degrees from North in Clockwise direction Plunge = 5.33degrees  A=  0° |   N
Trend = 71.38 degrees from North in Clockwise direction Plunge = 5.11degrees  A=  0° |   N
Trend = 59.54 degrees from North in Clockwise direction Plunge = 15.99degrees  A=  0° |   N
Trend = 7.44 degrees from North in Clockwise direction Plunge = 20.20degrees  A=  0° |   N
Trend = -39.12 degrees from North in Clockwise direction Plunge = 15.96degrees  A=  0° |   N
Trend = 78.46 degrees from North in Clockwise direction Plunge = 14.69degrees  A=  0° |   N
Trend = -68.38 degrees from North in Clockwise direction Plunge = 11.07degrees  A=  0° |   N
Trend = 69.77 degrees from North in Clockwise direction Plunge = 12.80degrees  A=  0° |   N
Trend = 50.22 degrees from North in Clockwise direction Plunge = 16.59degrees  A=  0° |   N
Trend = 76.87 degrees from North in Clockwise direction Plunge = 16.11degrees  A=  0° |   N
Trend = 64.17 degrees from North in Clockwise direction Plunge = 3.45degrees  A=  0° |   N
Trend = -85.10 degrees from North in Clockwise direction Plunge = 0.80degrees  A=  0° |   N
Trend = 76.21 degrees from North in Clockwise direction Plunge = 12.87degrees  A=  0° |   N
Trend = -2.80 degrees from North in Clockwise direction Plunge = 18.40degrees  A=  0° |   N
Trend = -28.76 degrees from North in Clockwise direction Plunge = 27.18degrees  A=  0° |   N
Trend = -60.19 degrees from North in Clockwise direction Plunge = 19.31degrees  A=  0° |   N
Trend = 84.44 degrees from North in Clockwise direction Plunge = 10.22degrees  A=  0° |   N
Trend = 88.46 degrees from North in Clockwise direction Plunge = 0.06degrees  A=  0° |   N
Trend = 86.22 degrees from North in Clockwise direction Plunge = 0.46degrees  A=  0° |   N
Trend = 89.26 degrees from North in Clockwise direction Plunge = 0.01degrees  A=  0° |   N
Trend = 89.48 degrees from North in Clockwise direction Plunge = 0.00degrees  A=  0° |   N
Trend = 87.91 degrees from North in Clockwise direction Plunge = 0.09degrees  A=  0° |   N
Trend = 82.90 degrees from North in Clockwise direction Plunge = 6.62degrees  A=  0° |   N
Trend = -81.89 degrees from North in Clockwise direction Plunge = 12.20degrees  A=  0° |   N
Trend = 86.82 degrees from North in Clockwise direction Plunge = 12.56degrees  A=  0° |   N
Trend = 87.56 degrees from North in Clockwise direction Plunge = 0.15degrees  A=  0° |   N
